
=== Training started at 2025-12-10 03:18:59 ===
Step 10: {'loss': 4.3209, 'grad_norm': 8.168756484985352, 'learning_rate': 4.986666666666667e-05, 'epoch': 0.008888888888888889}
Step 200: {'loss': 1.5617, 'grad_norm': 4.7288618087768555, 'learning_rate': 4.7051851851851855e-05, 'epoch': 0.17777777777777778}
Step 210: {'loss': 1.4843, 'grad_norm': 4.478967666625977, 'learning_rate': 4.690370370370371e-05, 'epoch': 0.18666666666666668}
Step 220: {'loss': 1.4393, 'grad_norm': 4.959149360656738, 'learning_rate': 4.675555555555556e-05, 'epoch': 0.19555555555555557}
Step 230: {'loss': 1.4342, 'grad_norm': 3.8592092990875244, 'learning_rate': 4.660740740740741e-05, 'epoch': 0.20444444444444446}
Step 240: {'loss': 1.3895, 'grad_norm': 4.141768932342529, 'learning_rate': 4.645925925925926e-05, 'epoch': 0.21333333333333335}
Step 250: {'loss': 1.4519, 'grad_norm': 4.3325934410095215, 'learning_rate': 4.6311111111111113e-05, 'epoch': 0.2222222222222222}
Step 260: {'loss': 1.5375, 'grad_norm': 3.5599629878997803, 'learning_rate': 4.6162962962962966e-05, 'epoch': 0.2311111111111111}
Step 270: {'loss': 1.4129, 'grad_norm': 4.952556610107422, 'learning_rate': 4.601481481481482e-05, 'epoch': 0.24}
Step 280: {'loss': 1.5278, 'grad_norm': 3.9160537719726562, 'learning_rate': 4.5866666666666666e-05, 'epoch': 0.24888888888888888}
Step 290: {'loss': 1.5079, 'grad_norm': 3.569981813430786, 'learning_rate': 4.571851851851852e-05, 'epoch': 0.2577777777777778}
Step 300: {'loss': 1.5598, 'grad_norm': 3.702634572982788, 'learning_rate': 4.557037037037037e-05, 'epoch': 0.26666666666666666}
Step 310: {'loss': 1.4944, 'grad_norm': 3.5649850368499756, 'learning_rate': 4.5422222222222225e-05, 'epoch': 0.27555555555555555}
Step 320: {'loss': 1.4497, 'grad_norm': 3.7301387786865234, 'learning_rate': 4.527407407407407e-05, 'epoch': 0.28444444444444444}
Step 330: {'loss': 1.4811, 'grad_norm': 3.8482089042663574, 'learning_rate': 4.5125925925925924e-05, 'epoch': 0.29333333333333333}
Step 340: {'loss': 1.445, 'grad_norm': 5.010837078094482, 'learning_rate': 4.497777777777778e-05, 'epoch': 0.3022222222222222}
Step 350: {'loss': 1.4821, 'grad_norm': 3.2066688537597656, 'learning_rate': 4.482962962962963e-05, 'epoch': 0.3111111111111111}
Step 360: {'loss': 1.4526, 'grad_norm': 3.3071720600128174, 'learning_rate': 4.468148148148148e-05, 'epoch': 0.32}
Step 370: {'loss': 1.4091, 'grad_norm': 3.80605149269104, 'learning_rate': 4.4533333333333336e-05, 'epoch': 0.3288888888888889}
Step 380: {'loss': 1.4419, 'grad_norm': 3.063589334487915, 'learning_rate': 4.438518518518518e-05, 'epoch': 0.3377777777777778}
Step 390: {'loss': 1.3616, 'grad_norm': 3.2311553955078125, 'learning_rate': 4.4237037037037035e-05, 'epoch': 0.3466666666666667}
Step 400: {'loss': 1.3924, 'grad_norm': 3.8137645721435547, 'learning_rate': 4.408888888888889e-05, 'epoch': 0.35555555555555557}
Step 410: {'loss': 1.4862, 'grad_norm': 3.191770076751709, 'learning_rate': 4.394074074074074e-05, 'epoch': 0.36444444444444446}
Step 420: {'loss': 1.5395, 'grad_norm': 2.816014528274536, 'learning_rate': 4.3792592592592594e-05, 'epoch': 0.37333333333333335}
Step 430: {'loss': 1.4941, 'grad_norm': 2.7329041957855225, 'learning_rate': 4.364444444444445e-05, 'epoch': 0.38222222222222224}
Step 440: {'loss': 1.5163, 'grad_norm': 3.1436350345611572, 'learning_rate': 4.3496296296296294e-05, 'epoch': 0.39111111111111113}
Step 450: {'loss': 1.4335, 'grad_norm': 3.1150529384613037, 'learning_rate': 4.334814814814815e-05, 'epoch': 0.4}
Step 460: {'loss': 1.2619, 'grad_norm': 3.371835947036743, 'learning_rate': 4.32e-05, 'epoch': 0.4088888888888889}
Step 470: {'loss': 1.4274, 'grad_norm': 2.6231119632720947, 'learning_rate': 4.305185185185185e-05, 'epoch': 0.4177777777777778}
Step 480: {'loss': 1.3658, 'grad_norm': 3.6087799072265625, 'learning_rate': 4.2903703703703706e-05, 'epoch': 0.4266666666666667}
Step 490: {'loss': 1.3926, 'grad_norm': 3.06591534614563, 'learning_rate': 4.275555555555556e-05, 'epoch': 0.43555555555555553}
Step 500: {'loss': 1.3455, 'grad_norm': 3.1010172367095947, 'learning_rate': 4.2607407407407405e-05, 'epoch': 0.4444444444444444}
Step 510: {'loss': 1.3679, 'grad_norm': 2.7748193740844727, 'learning_rate': 4.245925925925926e-05, 'epoch': 0.4533333333333333}
Step 520: {'loss': 1.4835, 'grad_norm': 2.3336479663848877, 'learning_rate': 4.231111111111111e-05, 'epoch': 0.4622222222222222}
Step 530: {'loss': 1.3694, 'grad_norm': 2.999316930770874, 'learning_rate': 4.2162962962962964e-05, 'epoch': 0.4711111111111111}
Step 540: {'loss': 1.4026, 'grad_norm': 3.0633656978607178, 'learning_rate': 4.201481481481482e-05, 'epoch': 0.48}
Step 550: {'loss': 1.2966, 'grad_norm': 2.502673625946045, 'learning_rate': 4.186666666666667e-05, 'epoch': 0.4888888888888889}
Step 560: {'loss': 1.3753, 'grad_norm': 2.6080167293548584, 'learning_rate': 4.1718518518518516e-05, 'epoch': 0.49777777777777776}
Step 570: {'loss': 1.3327, 'grad_norm': 3.0802297592163086, 'learning_rate': 4.157037037037037e-05, 'epoch': 0.5066666666666667}
Step 580: {'loss': 1.3601, 'grad_norm': 2.4749507904052734, 'learning_rate': 4.142222222222222e-05, 'epoch': 0.5155555555555555}
Step 590: {'loss': 1.3639, 'grad_norm': 2.7114977836608887, 'learning_rate': 4.1274074074074075e-05, 'epoch': 0.5244444444444445}
Step 600: {'loss': 1.4293, 'grad_norm': 2.763674259185791, 'learning_rate': 4.112592592592593e-05, 'epoch': 0.5333333333333333}
Step 610: {'loss': 1.372, 'grad_norm': 2.739217758178711, 'learning_rate': 4.097777777777778e-05, 'epoch': 0.5422222222222223}
Step 620: {'loss': 1.4083, 'grad_norm': 2.7012939453125, 'learning_rate': 4.0829629629629634e-05, 'epoch': 0.5511111111111111}
Step 630: {'loss': 1.3377, 'grad_norm': 2.6133060455322266, 'learning_rate': 4.068148148148148e-05, 'epoch': 0.56}
Step 640: {'loss': 1.394, 'grad_norm': 2.792140007019043, 'learning_rate': 4.0533333333333334e-05, 'epoch': 0.5688888888888889}
Step 650: {'loss': 1.3192, 'grad_norm': 2.621814250946045, 'learning_rate': 4.038518518518519e-05, 'epoch': 0.5777777777777777}
Step 660: {'loss': 1.4293, 'grad_norm': 3.50982928276062, 'learning_rate': 4.023703703703704e-05, 'epoch': 0.5866666666666667}
Step 670: {'loss': 1.4949, 'grad_norm': 2.6948082447052, 'learning_rate': 4.008888888888889e-05, 'epoch': 0.5955555555555555}
Step 680: {'loss': 1.3659, 'grad_norm': 2.3496804237365723, 'learning_rate': 3.9940740740740746e-05, 'epoch': 0.6044444444444445}
Step 690: {'loss': 1.2604, 'grad_norm': 2.757422685623169, 'learning_rate': 3.979259259259259e-05, 'epoch': 0.6133333333333333}
Step 700: {'loss': 1.2523, 'grad_norm': 3.292153835296631, 'learning_rate': 3.9644444444444445e-05, 'epoch': 0.6222222222222222}
Step 710: {'loss': 1.3577, 'grad_norm': 2.9097468852996826, 'learning_rate': 3.94962962962963e-05, 'epoch': 0.6311111111111111}
Step 720: {'loss': 1.3946, 'grad_norm': 2.6997969150543213, 'learning_rate': 3.934814814814815e-05, 'epoch': 0.64}
Step 730: {'loss': 1.4034, 'grad_norm': 3.0118463039398193, 'learning_rate': 3.9200000000000004e-05, 'epoch': 0.6488888888888888}
Step 740: {'loss': 1.4508, 'grad_norm': 3.053490400314331, 'learning_rate': 3.905185185185186e-05, 'epoch': 0.6577777777777778}
Step 750: {'loss': 1.2795, 'grad_norm': 3.6816012859344482, 'learning_rate': 3.8903703703703703e-05, 'epoch': 0.6666666666666666}
Step 760: {'loss': 1.2385, 'grad_norm': 2.621530294418335, 'learning_rate': 3.8755555555555556e-05, 'epoch': 0.6755555555555556}
Step 770: {'loss': 1.4504, 'grad_norm': 3.11110520362854, 'learning_rate': 3.860740740740741e-05, 'epoch': 0.6844444444444444}
Step 780: {'loss': 1.3637, 'grad_norm': 2.4073312282562256, 'learning_rate': 3.845925925925926e-05, 'epoch': 0.6933333333333334}
Step 790: {'loss': 1.4171, 'grad_norm': 2.4151322841644287, 'learning_rate': 3.8311111111111115e-05, 'epoch': 0.7022222222222222}
Step 800: {'loss': 1.3082, 'grad_norm': 2.9977030754089355, 'learning_rate': 3.816296296296297e-05, 'epoch': 0.7111111111111111}
Step 810: {'loss': 1.3237, 'grad_norm': 2.790888786315918, 'learning_rate': 3.8014814814814815e-05, 'epoch': 0.72}
Step 820: {'loss': 1.3209, 'grad_norm': 2.6245133876800537, 'learning_rate': 3.786666666666667e-05, 'epoch': 0.7288888888888889}
Step 830: {'loss': 1.3683, 'grad_norm': 2.2177813053131104, 'learning_rate': 3.771851851851852e-05, 'epoch': 0.7377777777777778}
Step 840: {'loss': 1.4662, 'grad_norm': 2.7940011024475098, 'learning_rate': 3.7570370370370374e-05, 'epoch': 0.7466666666666667}
Step 850: {'loss': 1.3635, 'grad_norm': 2.70283842086792, 'learning_rate': 3.742222222222223e-05, 'epoch': 0.7555555555555555}
Step 860: {'loss': 1.3409, 'grad_norm': 2.617501735687256, 'learning_rate': 3.727407407407408e-05, 'epoch': 0.7644444444444445}
Step 870: {'loss': 1.3927, 'grad_norm': 2.620600700378418, 'learning_rate': 3.7125925925925926e-05, 'epoch': 0.7733333333333333}
Step 880: {'loss': 1.4435, 'grad_norm': 2.471173048019409, 'learning_rate': 3.697777777777778e-05, 'epoch': 0.7822222222222223}
Step 890: {'loss': 1.3455, 'grad_norm': 2.620372772216797, 'learning_rate': 3.682962962962963e-05, 'epoch': 0.7911111111111111}
Step 900: {'loss': 1.3329, 'grad_norm': 2.1635990142822266, 'learning_rate': 3.6681481481481485e-05, 'epoch': 0.8}
Step 910: {'loss': 1.3024, 'grad_norm': 2.297250270843506, 'learning_rate': 3.653333333333334e-05, 'epoch': 0.8088888888888889}
Step 920: {'loss': 1.4244, 'grad_norm': 2.313279628753662, 'learning_rate': 3.638518518518519e-05, 'epoch': 0.8177777777777778}
Step 930: {'loss': 1.3763, 'grad_norm': 2.536586046218872, 'learning_rate': 3.623703703703704e-05, 'epoch': 0.8266666666666667}
Step 940: {'loss': 1.2543, 'grad_norm': 2.8560328483581543, 'learning_rate': 3.608888888888889e-05, 'epoch': 0.8355555555555556}
Step 950: {'loss': 1.3123, 'grad_norm': 3.1657888889312744, 'learning_rate': 3.5940740740740743e-05, 'epoch': 0.8444444444444444}
Step 960: {'loss': 1.2696, 'grad_norm': 2.0820748805999756, 'learning_rate': 3.5792592592592596e-05, 'epoch': 0.8533333333333334}
Step 970: {'loss': 1.3352, 'grad_norm': 2.6209301948547363, 'learning_rate': 3.564444444444445e-05, 'epoch': 0.8622222222222222}
Step 980: {'loss': 1.3563, 'grad_norm': 2.7952208518981934, 'learning_rate': 3.54962962962963e-05, 'epoch': 0.8711111111111111}
Step 990: {'loss': 1.4063, 'grad_norm': 2.931384801864624, 'learning_rate': 3.5348148148148156e-05, 'epoch': 0.88}
Step 1000: {'loss': 1.3457, 'grad_norm': 2.3480191230773926, 'learning_rate': 3.52e-05, 'epoch': 0.8888888888888888}
Step 1010: {'loss': 1.2906, 'grad_norm': 2.1978840827941895, 'learning_rate': 3.5051851851851855e-05, 'epoch': 0.8977777777777778}
Step 1020: {'loss': 1.3017, 'grad_norm': 2.34641432762146, 'learning_rate': 3.490370370370371e-05, 'epoch': 0.9066666666666666}
Step 1030: {'loss': 1.2974, 'grad_norm': 2.5470001697540283, 'learning_rate': 3.475555555555556e-05, 'epoch': 0.9155555555555556}
Step 1040: {'loss': 1.3223, 'grad_norm': 2.7510769367218018, 'learning_rate': 3.4607407407407414e-05, 'epoch': 0.9244444444444444}
Step 1050: {'loss': 1.3181, 'grad_norm': 3.037320852279663, 'learning_rate': 3.445925925925926e-05, 'epoch': 0.9333333333333333}
Step 1060: {'loss': 1.363, 'grad_norm': 2.4247469902038574, 'learning_rate': 3.431111111111111e-05, 'epoch': 0.9422222222222222}
Step 1070: {'loss': 1.4306, 'grad_norm': 2.7107133865356445, 'learning_rate': 3.4162962962962966e-05, 'epoch': 0.9511111111111111}
Step 1080: {'loss': 1.2503, 'grad_norm': 2.5284194946289062, 'learning_rate': 3.401481481481482e-05, 'epoch': 0.96}
Step 1090: {'loss': 1.3085, 'grad_norm': 2.6469202041625977, 'learning_rate': 3.3866666666666665e-05, 'epoch': 0.9688888888888889}
Step 1100: {'loss': 1.3659, 'grad_norm': 3.413059711456299, 'learning_rate': 3.371851851851852e-05, 'epoch': 0.9777777777777777}
Step 1110: {'loss': 1.2255, 'grad_norm': 2.6923835277557373, 'learning_rate': 3.357037037037037e-05, 'epoch': 0.9866666666666667}
Step 1120: {'loss': 1.4319, 'grad_norm': 2.5287675857543945, 'learning_rate': 3.3422222222222224e-05, 'epoch': 0.9955555555555555}
Epoch 1.0 completed in 773.90s
Step 1125: {'eval_loss': 1.277658462524414, 'eval_runtime': 21.9804, 'eval_samples_per_second': 22.747, 'eval_steps_per_second': 5.687, 'epoch': 1.0}
Step 1130: {'loss': 1.3248, 'grad_norm': 2.2680342197418213, 'learning_rate': 3.327407407407408e-05, 'epoch': 1.0044444444444445}
Step 1140: {'loss': 1.1553, 'grad_norm': 2.697929859161377, 'learning_rate': 3.3125925925925924e-05, 'epoch': 1.0133333333333334}
Step 1150: {'loss': 1.2369, 'grad_norm': 2.4405674934387207, 'learning_rate': 3.297777777777778e-05, 'epoch': 1.0222222222222221}
Step 1160: {'loss': 1.2964, 'grad_norm': 3.0213801860809326, 'learning_rate': 3.282962962962963e-05, 'epoch': 1.031111111111111}
Step 1170: {'loss': 1.2817, 'grad_norm': 3.2092878818511963, 'learning_rate': 3.268148148148148e-05, 'epoch': 1.04}
Step 1180: {'loss': 1.2474, 'grad_norm': 2.4614365100860596, 'learning_rate': 3.253333333333333e-05, 'epoch': 1.048888888888889}
Step 1190: {'loss': 1.3845, 'grad_norm': 2.305387496948242, 'learning_rate': 3.238518518518518e-05, 'epoch': 1.0577777777777777}
Step 1200: {'loss': 1.2104, 'grad_norm': 3.079881429672241, 'learning_rate': 3.2237037037037035e-05, 'epoch': 1.0666666666666667}
Step 1210: {'loss': 1.2356, 'grad_norm': 3.936598300933838, 'learning_rate': 3.208888888888889e-05, 'epoch': 1.0755555555555556}
Step 1220: {'loss': 1.1377, 'grad_norm': 2.5700724124908447, 'learning_rate': 3.194074074074074e-05, 'epoch': 1.0844444444444445}
Step 1230: {'loss': 1.2137, 'grad_norm': 2.9981651306152344, 'learning_rate': 3.1792592592592594e-05, 'epoch': 1.0933333333333333}
Step 1240: {'loss': 1.1668, 'grad_norm': 2.698788642883301, 'learning_rate': 3.164444444444444e-05, 'epoch': 1.1022222222222222}
Step 1250: {'loss': 1.2636, 'grad_norm': 3.746009111404419, 'learning_rate': 3.1496296296296293e-05, 'epoch': 1.1111111111111112}
Step 1260: {'loss': 1.1907, 'grad_norm': 2.4505064487457275, 'learning_rate': 3.1348148148148146e-05, 'epoch': 1.12}
Step 1270: {'loss': 1.1621, 'grad_norm': 2.717649221420288, 'learning_rate': 3.12e-05, 'epoch': 1.1288888888888888}
Step 1280: {'loss': 1.2328, 'grad_norm': 2.4319214820861816, 'learning_rate': 3.105185185185185e-05, 'epoch': 1.1377777777777778}
Step 1290: {'loss': 1.1542, 'grad_norm': 2.6488635540008545, 'learning_rate': 3.0903703703703705e-05, 'epoch': 1.1466666666666667}
Step 1300: {'loss': 1.2031, 'grad_norm': 2.4564125537872314, 'learning_rate': 3.075555555555556e-05, 'epoch': 1.1555555555555554}
Step 1310: {'loss': 1.1369, 'grad_norm': 3.13739013671875, 'learning_rate': 3.0607407407407405e-05, 'epoch': 1.1644444444444444}
Step 1320: {'loss': 1.126, 'grad_norm': 2.6439595222473145, 'learning_rate': 3.045925925925926e-05, 'epoch': 1.1733333333333333}
Step 1330: {'loss': 1.3165, 'grad_norm': 2.1998138427734375, 'learning_rate': 3.031111111111111e-05, 'epoch': 1.1822222222222223}
Step 1340: {'loss': 1.2571, 'grad_norm': 2.3383500576019287, 'learning_rate': 3.0162962962962964e-05, 'epoch': 1.1911111111111112}
Step 1350: {'loss': 1.2877, 'grad_norm': 2.357140064239502, 'learning_rate': 3.0014814814814817e-05, 'epoch': 1.2}
Step 1360: {'loss': 1.3163, 'grad_norm': 2.9434006214141846, 'learning_rate': 2.986666666666667e-05, 'epoch': 1.208888888888889}
Step 1370: {'loss': 1.2155, 'grad_norm': 2.2200331687927246, 'learning_rate': 2.9718518518518516e-05, 'epoch': 1.2177777777777778}
Step 1380: {'loss': 1.3488, 'grad_norm': 2.6576039791107178, 'learning_rate': 2.957037037037037e-05, 'epoch': 1.2266666666666666}
Step 1390: {'loss': 1.2606, 'grad_norm': 2.423510789871216, 'learning_rate': 2.9422222222222222e-05, 'epoch': 1.2355555555555555}
Step 1400: {'loss': 1.2144, 'grad_norm': 2.7012431621551514, 'learning_rate': 2.9274074074074075e-05, 'epoch': 1.2444444444444445}
Step 1410: {'loss': 1.2154, 'grad_norm': 2.3655149936676025, 'learning_rate': 2.9125925925925928e-05, 'epoch': 1.2533333333333334}
Step 1420: {'loss': 1.1943, 'grad_norm': 2.4659626483917236, 'learning_rate': 2.897777777777778e-05, 'epoch': 1.2622222222222224}
Step 1430: {'loss': 1.3192, 'grad_norm': 2.385026216506958, 'learning_rate': 2.8829629629629627e-05, 'epoch': 1.271111111111111}
Step 1440: {'loss': 1.2432, 'grad_norm': 3.094872236251831, 'learning_rate': 2.868148148148148e-05, 'epoch': 1.28}
Step 1450: {'loss': 1.3181, 'grad_norm': 2.284024953842163, 'learning_rate': 2.8533333333333333e-05, 'epoch': 1.2888888888888888}
Step 1460: {'loss': 1.2859, 'grad_norm': 2.6766550540924072, 'learning_rate': 2.8385185185185186e-05, 'epoch': 1.2977777777777777}
Step 1470: {'loss': 1.2478, 'grad_norm': 4.969729900360107, 'learning_rate': 2.823703703703704e-05, 'epoch': 1.3066666666666666}
Step 1480: {'loss': 1.1569, 'grad_norm': 2.7310657501220703, 'learning_rate': 2.8088888888888893e-05, 'epoch': 1.3155555555555556}
Step 1490: {'loss': 1.2601, 'grad_norm': 2.3039934635162354, 'learning_rate': 2.794074074074074e-05, 'epoch': 1.3244444444444445}
Step 1500: {'loss': 1.1501, 'grad_norm': 2.6296379566192627, 'learning_rate': 2.7792592592592592e-05, 'epoch': 1.3333333333333333}
Step 1510: {'loss': 1.2093, 'grad_norm': 2.5525331497192383, 'learning_rate': 2.7644444444444445e-05, 'epoch': 1.3422222222222222}
Step 1520: {'loss': 1.2401, 'grad_norm': 2.5514273643493652, 'learning_rate': 2.7496296296296298e-05, 'epoch': 1.3511111111111112}
Step 1530: {'loss': 1.1944, 'grad_norm': 2.455003261566162, 'learning_rate': 2.734814814814815e-05, 'epoch': 1.3599999999999999}
Step 1540: {'loss': 1.2293, 'grad_norm': 3.070502519607544, 'learning_rate': 2.7200000000000004e-05, 'epoch': 1.3688888888888888}
Step 1550: {'loss': 1.2346, 'grad_norm': 2.5611610412597656, 'learning_rate': 2.705185185185185e-05, 'epoch': 1.3777777777777778}
Step 1560: {'loss': 1.1751, 'grad_norm': 11.295082092285156, 'learning_rate': 2.6903703703703703e-05, 'epoch': 1.3866666666666667}
Step 1570: {'loss': 1.1286, 'grad_norm': 2.6142282485961914, 'learning_rate': 2.6755555555555556e-05, 'epoch': 1.3955555555555557}
Step 1580: {'loss': 1.2787, 'grad_norm': 2.362347364425659, 'learning_rate': 2.660740740740741e-05, 'epoch': 1.4044444444444444}
Step 1590: {'loss': 1.4383, 'grad_norm': 2.8074533939361572, 'learning_rate': 2.6459259259259262e-05, 'epoch': 1.4133333333333333}
Step 1600: {'loss': 1.1316, 'grad_norm': 2.4446420669555664, 'learning_rate': 2.6311111111111115e-05, 'epoch': 1.4222222222222223}
Step 1610: {'loss': 1.1988, 'grad_norm': 2.469449520111084, 'learning_rate': 2.6162962962962968e-05, 'epoch': 1.431111111111111}
Step 1620: {'loss': 1.3335, 'grad_norm': 3.7136471271514893, 'learning_rate': 2.6014814814814814e-05, 'epoch': 1.44}
Step 1630: {'loss': 1.1501, 'grad_norm': 2.689944267272949, 'learning_rate': 2.5866666666666667e-05, 'epoch': 1.448888888888889}
Step 1640: {'loss': 1.2505, 'grad_norm': 2.5126092433929443, 'learning_rate': 2.571851851851852e-05, 'epoch': 1.4577777777777778}
Step 1650: {'loss': 1.2119, 'grad_norm': 2.3298280239105225, 'learning_rate': 2.5570370370370374e-05, 'epoch': 1.4666666666666668}
Step 1660: {'loss': 1.2192, 'grad_norm': 2.2360336780548096, 'learning_rate': 2.5422222222222227e-05, 'epoch': 1.4755555555555555}
Step 1670: {'loss': 1.2598, 'grad_norm': 2.1827712059020996, 'learning_rate': 2.5274074074074076e-05, 'epoch': 1.4844444444444445}
Step 1680: {'loss': 1.2459, 'grad_norm': 2.386781692504883, 'learning_rate': 2.5125925925925926e-05, 'epoch': 1.4933333333333334}
Step 1690: {'loss': 1.3031, 'grad_norm': 2.776189088821411, 'learning_rate': 2.497777777777778e-05, 'epoch': 1.5022222222222221}
Step 1700: {'loss': 1.2055, 'grad_norm': 2.422116279602051, 'learning_rate': 2.4829629629629632e-05, 'epoch': 1.511111111111111}
Step 1710: {'loss': 1.199, 'grad_norm': 2.4142465591430664, 'learning_rate': 2.4681481481481485e-05, 'epoch': 1.52}
Step 1720: {'loss': 1.3179, 'grad_norm': 2.692185878753662, 'learning_rate': 2.4533333333333334e-05, 'epoch': 1.528888888888889}
Step 1730: {'loss': 1.215, 'grad_norm': 2.446969747543335, 'learning_rate': 2.4385185185185188e-05, 'epoch': 1.537777777777778}
Step 1740: {'loss': 1.3378, 'grad_norm': 2.3670246601104736, 'learning_rate': 2.4237037037037037e-05, 'epoch': 1.5466666666666666}
Step 1750: {'loss': 1.1618, 'grad_norm': 2.9113869667053223, 'learning_rate': 2.408888888888889e-05, 'epoch': 1.5555555555555556}
Step 1760: {'loss': 1.2382, 'grad_norm': 2.2854294776916504, 'learning_rate': 2.394074074074074e-05, 'epoch': 1.5644444444444443}
Step 1770: {'loss': 1.3173, 'grad_norm': 2.893031358718872, 'learning_rate': 2.3792592592592593e-05, 'epoch': 1.5733333333333333}
Step 1780: {'loss': 1.1847, 'grad_norm': 2.315094232559204, 'learning_rate': 2.3644444444444446e-05, 'epoch': 1.5822222222222222}
Step 1790: {'loss': 1.2355, 'grad_norm': 2.7543976306915283, 'learning_rate': 2.3496296296296295e-05, 'epoch': 1.5911111111111111}
Step 1800: {'loss': 1.2477, 'grad_norm': 2.1989657878875732, 'learning_rate': 2.334814814814815e-05, 'epoch': 1.6}
Step 1810: {'loss': 1.2181, 'grad_norm': 2.2861032485961914, 'learning_rate': 2.32e-05, 'epoch': 1.608888888888889}
Step 1820: {'loss': 1.259, 'grad_norm': 2.550361156463623, 'learning_rate': 2.305185185185185e-05, 'epoch': 1.6177777777777778}
Step 1830: {'loss': 1.1577, 'grad_norm': 2.129443645477295, 'learning_rate': 2.2903703703703704e-05, 'epoch': 1.6266666666666667}
Step 1840: {'loss': 1.1349, 'grad_norm': 2.64703631401062, 'learning_rate': 2.2755555555555557e-05, 'epoch': 1.6355555555555554}
Step 1850: {'loss': 1.275, 'grad_norm': 3.0710551738739014, 'learning_rate': 2.2607407407407407e-05, 'epoch': 1.6444444444444444}
Step 1860: {'loss': 1.2529, 'grad_norm': 2.567139148712158, 'learning_rate': 2.245925925925926e-05, 'epoch': 1.6533333333333333}
Step 1870: {'loss': 1.2729, 'grad_norm': 5.148467540740967, 'learning_rate': 2.2311111111111113e-05, 'epoch': 1.6622222222222223}
Step 1880: {'loss': 1.4217, 'grad_norm': 2.5336081981658936, 'learning_rate': 2.2162962962962962e-05, 'epoch': 1.6711111111111112}
Step 1890: {'loss': 1.2638, 'grad_norm': 2.448253870010376, 'learning_rate': 2.2014814814814815e-05, 'epoch': 1.6800000000000002}
Step 1900: {'loss': 1.2736, 'grad_norm': 2.021275281906128, 'learning_rate': 2.186666666666667e-05, 'epoch': 1.6888888888888889}
Step 1910: {'loss': 1.1632, 'grad_norm': 2.3740909099578857, 'learning_rate': 2.1718518518518518e-05, 'epoch': 1.6977777777777778}
Step 1920: {'loss': 1.1913, 'grad_norm': 2.4286704063415527, 'learning_rate': 2.157037037037037e-05, 'epoch': 1.7066666666666666}
Step 1930: {'loss': 1.2102, 'grad_norm': 2.7633261680603027, 'learning_rate': 2.1422222222222224e-05, 'epoch': 1.7155555555555555}
Step 1940: {'loss': 1.1479, 'grad_norm': 2.390687942504883, 'learning_rate': 2.1274074074074074e-05, 'epoch': 1.7244444444444444}
