=== Training started at 2025-12-11 01:18:04 ===
Step 10: {'loss': 3.9368, 'grad_norm': 1.5187633037567139, 'learning_rate': 0.0004986666666666667, 'epoch': 0.008888888888888889}
Step 270: {'loss': 1.1717, 'grad_norm': 1.2614772319793701, 'learning_rate': 0.00046014814814814817, 'epoch': 0.24}
Step 280: {'loss': 1.2477, 'grad_norm': 1.620925784111023, 'learning_rate': 0.0004586666666666667, 'epoch': 0.24888888888888888}
Step 290: {'loss': 1.2853, 'grad_norm': 1.2909538745880127, 'learning_rate': 0.0004571851851851852, 'epoch': 0.2577777777777778}
Step 300: {'loss': 1.3062, 'grad_norm': 0.7778041362762451, 'learning_rate': 0.0004557037037037037, 'epoch': 0.26666666666666666}
Step 310: {'loss': 1.2622, 'grad_norm': 0.8654189705848694, 'learning_rate': 0.00045422222222222223, 'epoch': 0.27555555555555555}
Step 320: {'loss': 1.2371, 'grad_norm': 0.8031435608863831, 'learning_rate': 0.00045274074074074075, 'epoch': 0.28444444444444444}
Step 330: {'loss': 1.2426, 'grad_norm': 0.8505838513374329, 'learning_rate': 0.00045125925925925927, 'epoch': 0.29333333333333333}
Step 340: {'loss': 1.1678, 'grad_norm': 0.9757272601127625, 'learning_rate': 0.0004497777777777778, 'epoch': 0.3022222222222222}
Step 350: {'loss': 1.2132, 'grad_norm': 0.8248431086540222, 'learning_rate': 0.0004482962962962963, 'epoch': 0.3111111111111111}
Step 360: {'loss': 1.1975, 'grad_norm': 0.7876424789428711, 'learning_rate': 0.0004468148148148148, 'epoch': 0.32}
Step 370: {'loss': 1.215, 'grad_norm': 0.8138487935066223, 'learning_rate': 0.0004453333333333334, 'epoch': 0.3288888888888889}
Step 380: {'loss': 1.2204, 'grad_norm': 0.7376484274864197, 'learning_rate': 0.00044385185185185185, 'epoch': 0.3377777777777778}
Step 390: {'loss': 1.1954, 'grad_norm': 0.8737006187438965, 'learning_rate': 0.00044237037037037037, 'epoch': 0.3466666666666667}
Step 400: {'loss': 1.1913, 'grad_norm': 0.8186482191085815, 'learning_rate': 0.0004408888888888889, 'epoch': 0.35555555555555557}
Step 410: {'loss': 1.2417, 'grad_norm': 0.634283721446991, 'learning_rate': 0.0004394074074074074, 'epoch': 0.36444444444444446}
Step 420: {'loss': 1.2731, 'grad_norm': 0.7062112092971802, 'learning_rate': 0.00043792592592592597, 'epoch': 0.37333333333333335}
Step 430: {'loss': 1.2829, 'grad_norm': 0.6213342547416687, 'learning_rate': 0.0004364444444444445, 'epoch': 0.38222222222222224}
Step 440: {'loss': 1.2747, 'grad_norm': 0.7779673933982849, 'learning_rate': 0.00043496296296296295, 'epoch': 0.39111111111111113}
Step 450: {'loss': 1.2157, 'grad_norm': 1.2159532308578491, 'learning_rate': 0.00043348148148148147, 'epoch': 0.4}
Step 460: {'loss': 1.0859, 'grad_norm': 1.441068410873413, 'learning_rate': 0.000432, 'epoch': 0.4088888888888889}
Step 470: {'loss': 1.1663, 'grad_norm': 0.7452889680862427, 'learning_rate': 0.00043051851851851855, 'epoch': 0.4177777777777778}
Step 480: {'loss': 1.1535, 'grad_norm': 0.7527121305465698, 'learning_rate': 0.00042903703703703707, 'epoch': 0.4266666666666667}
Step 490: {'loss': 1.2078, 'grad_norm': 0.8365089893341064, 'learning_rate': 0.0004275555555555556, 'epoch': 0.43555555555555553}
Step 500: {'loss': 1.1452, 'grad_norm': 0.7059004902839661, 'learning_rate': 0.00042607407407407405, 'epoch': 0.4444444444444444}
Step 510: {'loss': 1.1663, 'grad_norm': 0.7257433533668518, 'learning_rate': 0.00042459259259259257, 'epoch': 0.4533333333333333}
Step 520: {'loss': 1.2917, 'grad_norm': 0.5301205515861511, 'learning_rate': 0.00042311111111111114, 'epoch': 0.4622222222222222}
Step 530: {'loss': 1.158, 'grad_norm': 0.977413535118103, 'learning_rate': 0.00042162962962962965, 'epoch': 0.4711111111111111}
Step 540: {'loss': 1.1937, 'grad_norm': 0.6786495447158813, 'learning_rate': 0.00042014814814814817, 'epoch': 0.48}
Step 550: {'loss': 1.1087, 'grad_norm': 0.6363920569419861, 'learning_rate': 0.0004186666666666667, 'epoch': 0.4888888888888889}
Step 560: {'loss': 1.1304, 'grad_norm': 0.5211119055747986, 'learning_rate': 0.00041718518518518515, 'epoch': 0.49777777777777776}
Step 570: {'loss': 1.1485, 'grad_norm': 0.7371568083763123, 'learning_rate': 0.0004157037037037037, 'epoch': 0.5066666666666667}
Step 580: {'loss': 1.169, 'grad_norm': 1.5489081144332886, 'learning_rate': 0.00041422222222222224, 'epoch': 0.5155555555555555}
Step 590: {'loss': 1.1631, 'grad_norm': 0.6287077069282532, 'learning_rate': 0.00041274074074074075, 'epoch': 0.5244444444444445}
Step 600: {'loss': 1.2162, 'grad_norm': 0.6904585957527161, 'learning_rate': 0.00041125925925925927, 'epoch': 0.5333333333333333}
Step 610: {'loss': 1.1873, 'grad_norm': 0.6785797476768494, 'learning_rate': 0.0004097777777777778, 'epoch': 0.5422222222222223}
Step 620: {'loss': 1.2015, 'grad_norm': 0.6805096864700317, 'learning_rate': 0.00040829629629629636, 'epoch': 0.5511111111111111}
Step 630: {'loss': 1.123, 'grad_norm': 0.6129673719406128, 'learning_rate': 0.0004068148148148148, 'epoch': 0.56}
Step 640: {'loss': 1.1775, 'grad_norm': 0.6517429351806641, 'learning_rate': 0.00040533333333333334, 'epoch': 0.5688888888888889}
Step 650: {'loss': 1.1514, 'grad_norm': 0.6019984483718872, 'learning_rate': 0.00040385185185185185, 'epoch': 0.5777777777777777}
Step 660: {'loss': 1.1994, 'grad_norm': 0.6058477759361267, 'learning_rate': 0.00040237037037037037, 'epoch': 0.5866666666666667}
Step 670: {'loss': 1.2826, 'grad_norm': 0.5686356425285339, 'learning_rate': 0.0004008888888888889, 'epoch': 0.5955555555555555}
Step 680: {'loss': 1.1475, 'grad_norm': 0.6086797714233398, 'learning_rate': 0.00039940740740740746, 'epoch': 0.6044444444444445}
Step 690: {'loss': 1.0684, 'grad_norm': 0.6372100114822388, 'learning_rate': 0.0003979259259259259, 'epoch': 0.6133333333333333}
Step 700: {'loss': 1.0895, 'grad_norm': 0.7869500517845154, 'learning_rate': 0.00039644444444444444, 'epoch': 0.6222222222222222}
Step 710: {'loss': 1.1646, 'grad_norm': 0.6334000825881958, 'learning_rate': 0.00039496296296296295, 'epoch': 0.6311111111111111}
Step 720: {'loss': 1.1768, 'grad_norm': 0.6485788822174072, 'learning_rate': 0.00039348148148148147, 'epoch': 0.64}
Step 730: {'loss': 1.2095, 'grad_norm': 0.6536946296691895, 'learning_rate': 0.00039200000000000004, 'epoch': 0.6488888888888888}
Step 740: {'loss': 1.2323, 'grad_norm': 0.6300553679466248, 'learning_rate': 0.00039051851851851856, 'epoch': 0.6577777777777778}
Step 750: {'loss': 1.0679, 'grad_norm': 0.722392737865448, 'learning_rate': 0.000389037037037037, 'epoch': 0.6666666666666666}
Step 760: {'loss': 1.0543, 'grad_norm': 0.7854971885681152, 'learning_rate': 0.00038755555555555554, 'epoch': 0.6755555555555556}
Step 770: {'loss': 1.2542, 'grad_norm': 0.7750962972640991, 'learning_rate': 0.00038607407407407405, 'epoch': 0.6844444444444444}
Step 780: {'loss': 1.1739, 'grad_norm': 0.47406357526779175, 'learning_rate': 0.0003845925925925926, 'epoch': 0.6933333333333334}
Step 790: {'loss': 1.2307, 'grad_norm': 0.5022684931755066, 'learning_rate': 0.00038311111111111114, 'epoch': 0.7022222222222222}
Step 800: {'loss': 1.1042, 'grad_norm': 0.7657656073570251, 'learning_rate': 0.00038162962962962966, 'epoch': 0.7111111111111111}
Step 810: {'loss': 1.1224, 'grad_norm': 0.6849040389060974, 'learning_rate': 0.0003801481481481481, 'epoch': 0.72}
Step 820: {'loss': 1.1383, 'grad_norm': 1.6529905796051025, 'learning_rate': 0.00037866666666666664, 'epoch': 0.7288888888888889}
Step 830: {'loss': 1.2053, 'grad_norm': 0.5837745666503906, 'learning_rate': 0.0003771851851851852, 'epoch': 0.7377777777777778}
Step 840: {'loss': 1.2896, 'grad_norm': 0.669634222984314, 'learning_rate': 0.0003757037037037037, 'epoch': 0.7466666666666667}
Step 850: {'loss': 1.1861, 'grad_norm': 0.6705278158187866, 'learning_rate': 0.00037422222222222224, 'epoch': 0.7555555555555555}
Step 860: {'loss': 1.1581, 'grad_norm': 0.535019040107727, 'learning_rate': 0.00037274074074074076, 'epoch': 0.7644444444444445}
Step 870: {'loss': 1.1762, 'grad_norm': 0.5988060235977173, 'learning_rate': 0.0003712592592592592, 'epoch': 0.7733333333333333}
Step 880: {'loss': 1.2316, 'grad_norm': 0.6131390929222107, 'learning_rate': 0.0003697777777777778, 'epoch': 0.7822222222222223}
Step 890: {'loss': 1.177, 'grad_norm': 0.5181124806404114, 'learning_rate': 0.0003682962962962963, 'epoch': 0.7911111111111111}
Step 900: {'loss': 1.1298, 'grad_norm': 0.5533860325813293, 'learning_rate': 0.0003668148148148148, 'epoch': 0.8}
Step 910: {'loss': 1.1069, 'grad_norm': 0.5172684788703918, 'learning_rate': 0.00036533333333333334, 'epoch': 0.8088888888888889}
Step 920: {'loss': 1.2217, 'grad_norm': 0.5237042903900146, 'learning_rate': 0.00036385185185185186, 'epoch': 0.8177777777777778}
Step 930: {'loss': 1.1777, 'grad_norm': 0.7458787560462952, 'learning_rate': 0.0003623703703703704, 'epoch': 0.8266666666666667}
Step 940: {'loss': 1.0925, 'grad_norm': 0.6666601300239563, 'learning_rate': 0.0003608888888888889, 'epoch': 0.8355555555555556}
Step 950: {'loss': 1.1596, 'grad_norm': 0.7144873142242432, 'learning_rate': 0.0003594074074074074, 'epoch': 0.8444444444444444}
Step 960: {'loss': 1.1071, 'grad_norm': 0.4606259763240814, 'learning_rate': 0.0003579259259259259, 'epoch': 0.8533333333333334}
Step 970: {'loss': 1.1341, 'grad_norm': 0.6030312180519104, 'learning_rate': 0.00035644444444444444, 'epoch': 0.8622222222222222}
Step 980: {'loss': 1.2136, 'grad_norm': 0.7384686470031738, 'learning_rate': 0.000354962962962963, 'epoch': 0.8711111111111111}
Step 990: {'loss': 1.2467, 'grad_norm': 0.6202930212020874, 'learning_rate': 0.00035348148148148153, 'epoch': 0.88}
Step 1000: {'loss': 1.1625, 'grad_norm': 0.44700565934181213, 'learning_rate': 0.000352, 'epoch': 0.8888888888888888}
Step 1010: {'loss': 1.1086, 'grad_norm': 0.5988543033599854, 'learning_rate': 0.0003505185185185185, 'epoch': 0.8977777777777778}
Step 1020: {'loss': 1.1323, 'grad_norm': 0.5897933840751648, 'learning_rate': 0.000349037037037037, 'epoch': 0.9066666666666666}
Step 1030: {'loss': 1.1402, 'grad_norm': 0.580268144607544, 'learning_rate': 0.0003475555555555556, 'epoch': 0.9155555555555556}
Step 1040: {'loss': 1.1327, 'grad_norm': 0.5769871473312378, 'learning_rate': 0.0003460740740740741, 'epoch': 0.9244444444444444}
Step 1050: {'loss': 1.1233, 'grad_norm': 0.7005117535591125, 'learning_rate': 0.00034459259259259263, 'epoch': 0.9333333333333333}
Step 1060: {'loss': 1.1827, 'grad_norm': 0.6006100177764893, 'learning_rate': 0.0003431111111111111, 'epoch': 0.9422222222222222}
Step 1070: {'loss': 1.2191, 'grad_norm': 0.6751521825790405, 'learning_rate': 0.0003416296296296296, 'epoch': 0.9511111111111111}
Step 1080: {'loss': 1.0829, 'grad_norm': 0.7048794031143188, 'learning_rate': 0.0003401481481481481, 'epoch': 0.96}
Step 1090: {'loss': 1.1516, 'grad_norm': 0.6126890182495117, 'learning_rate': 0.0003386666666666667, 'epoch': 0.9688888888888889}
Step 1100: {'loss': 1.1777, 'grad_norm': 0.7539003491401672, 'learning_rate': 0.0003371851851851852, 'epoch': 0.9777777777777777}
Step 1110: {'loss': 1.0662, 'grad_norm': 0.48331406712532043, 'learning_rate': 0.00033570370370370373, 'epoch': 0.9866666666666667}
Step 1120: {'loss': 1.2569, 'grad_norm': 0.5954473614692688, 'learning_rate': 0.0003342222222222222, 'epoch': 0.9955555555555555}
Epoch 1.0 completed in 6730.00s
Step 1125: {'eval_loss': 1.0919054746627808, 'eval_runtime': 199.6305, 'eval_samples_per_second': 2.505, 'eval_steps_per_second': 0.626, 'epoch': 1.0}
Step 1130: {'loss': 1.1927, 'grad_norm': 0.5857274532318115, 'learning_rate': 0.0003327407407407407, 'epoch': 1.0044444444444445}
Step 1140: {'loss': 1.0529, 'grad_norm': 0.5546720027923584, 'learning_rate': 0.0003312592592592593, 'epoch': 1.0133333333333334}
Step 1150: {'loss': 1.0913, 'grad_norm': 0.6525000333786011, 'learning_rate': 0.0003297777777777778, 'epoch': 1.0222222222222221}
Step 1160: {'loss': 1.1673, 'grad_norm': 0.7043499946594238, 'learning_rate': 0.0003282962962962963, 'epoch': 1.031111111111111}
Step 1170: {'loss': 1.1528, 'grad_norm': 0.7834587097167969, 'learning_rate': 0.00032681481481481483, 'epoch': 1.04}
Step 1180: {'loss': 1.1226, 'grad_norm': 0.5575093030929565, 'learning_rate': 0.0003253333333333333, 'epoch': 1.048888888888889}
Step 1190: {'loss': 1.2683, 'grad_norm': 0.5291751623153687, 'learning_rate': 0.00032385185185185186, 'epoch': 1.0577777777777777}
Step 1200: {'loss': 1.0864, 'grad_norm': 0.6800472140312195, 'learning_rate': 0.0003223703703703704, 'epoch': 1.0666666666666667}
Step 1210: {'loss': 1.1074, 'grad_norm': 0.695279061794281, 'learning_rate': 0.0003208888888888889, 'epoch': 1.0755555555555556}
Step 1220: {'loss': 0.9898, 'grad_norm': 0.47909462451934814, 'learning_rate': 0.0003194074074074074, 'epoch': 1.0844444444444445}
Step 1230: {'loss': 1.0952, 'grad_norm': 0.8694149851799011, 'learning_rate': 0.00031792592592592593, 'epoch': 1.0933333333333333}
Step 1240: {'loss': 1.0373, 'grad_norm': 0.4686163663864136, 'learning_rate': 0.00031644444444444444, 'epoch': 1.1022222222222222}
Step 1250: {'loss': 1.1748, 'grad_norm': 0.6689775586128235, 'learning_rate': 0.00031496296296296296, 'epoch': 1.1111111111111112}
Step 1260: {'loss': 1.1062, 'grad_norm': 0.6401200890541077, 'learning_rate': 0.0003134814814814815, 'epoch': 1.12}
Step 1270: {'loss': 1.0501, 'grad_norm': 0.5773656368255615, 'learning_rate': 0.000312, 'epoch': 1.1288888888888888}
Step 1280: {'loss': 1.0694, 'grad_norm': 0.51015704870224, 'learning_rate': 0.0003105185185185185, 'epoch': 1.1377777777777778}
Step 1290: {'loss': 1.0448, 'grad_norm': 0.48990440368652344, 'learning_rate': 0.0003090370370370371, 'epoch': 1.1466666666666667}
Step 1300: {'loss': 1.0786, 'grad_norm': 0.546768069267273, 'learning_rate': 0.0003075555555555556, 'epoch': 1.1555555555555554}
Step 1310: {'loss': 1.0317, 'grad_norm': 0.5559491515159607, 'learning_rate': 0.00030607407407407406, 'epoch': 1.1644444444444444}
Step 1320: {'loss': 1.0161, 'grad_norm': 0.7596527934074402, 'learning_rate': 0.0003045925925925926, 'epoch': 1.1733333333333333}
Step 1330: {'loss': 1.1657, 'grad_norm': 0.5110783576965332, 'learning_rate': 0.0003031111111111111, 'epoch': 1.1822222222222223}
Step 1340: {'loss': 1.1589, 'grad_norm': 0.5233128070831299, 'learning_rate': 0.00030162962962962967, 'epoch': 1.1911111111111112}
Step 1350: {'loss': 1.185, 'grad_norm': 0.5702590942382812, 'learning_rate': 0.0003001481481481482, 'epoch': 1.2}
Step 1360: {'loss': 1.1692, 'grad_norm': 0.7140635251998901, 'learning_rate': 0.0002986666666666667, 'epoch': 1.208888888888889}
Step 1370: {'loss': 1.092, 'grad_norm': 0.5328340530395508, 'learning_rate': 0.00029718518518518516, 'epoch': 1.2177777777777778}
Step 1380: {'loss': 1.221, 'grad_norm': 0.5409652590751648, 'learning_rate': 0.0002957037037037037, 'epoch': 1.2266666666666666}
Step 1390: {'loss': 1.1499, 'grad_norm': 0.5060092210769653, 'learning_rate': 0.00029422222222222225, 'epoch': 1.2355555555555555}
Step 1400: {'loss': 1.1197, 'grad_norm': 0.5932028889656067, 'learning_rate': 0.00029274074074074076, 'epoch': 1.2444444444444445}
Step 1410: {'loss': 1.0779, 'grad_norm': 0.5041168928146362, 'learning_rate': 0.0002912592592592593, 'epoch': 1.2533333333333334}
Step 1420: {'loss': 1.0998, 'grad_norm': 0.6368439197540283, 'learning_rate': 0.0002897777777777778, 'epoch': 1.2622222222222224}
Step 1430: {'loss': 1.1632, 'grad_norm': 0.4713922142982483, 'learning_rate': 0.00028829629629629626, 'epoch': 1.271111111111111}
Step 1440: {'loss': 1.1109, 'grad_norm': 0.5890001654624939, 'learning_rate': 0.00028681481481481483, 'epoch': 1.28}
Step 1450: {'loss': 1.2131, 'grad_norm': 0.530438244342804, 'learning_rate': 0.00028533333333333335, 'epoch': 1.2888888888888888}
Step 1460: {'loss': 1.1717, 'grad_norm': 0.5979163646697998, 'learning_rate': 0.00028385185185185186, 'epoch': 1.2977777777777777}
Step 1470: {'loss': 1.1568, 'grad_norm': 0.6881266236305237, 'learning_rate': 0.0002823703703703704, 'epoch': 1.3066666666666666}
Step 1480: {'loss': 1.0154, 'grad_norm': 0.9160618185997009, 'learning_rate': 0.0002808888888888889, 'epoch': 1.3155555555555556}
Step 1490: {'loss': 1.1507, 'grad_norm': 0.43670889735221863, 'learning_rate': 0.0002794074074074074, 'epoch': 1.3244444444444445}
Step 1500: {'loss': 1.0362, 'grad_norm': 0.7389567494392395, 'learning_rate': 0.00027792592592592593, 'epoch': 1.3333333333333333}
Step 1510: {'loss': 1.0859, 'grad_norm': 0.6583133339881897, 'learning_rate': 0.00027644444444444445, 'epoch': 1.3422222222222222}
Step 1520: {'loss': 1.119, 'grad_norm': 0.5426837801933289, 'learning_rate': 0.00027496296296296296, 'epoch': 1.3511111111111112}
Step 1530: {'loss': 1.0752, 'grad_norm': 0.6030901670455933, 'learning_rate': 0.0002734814814814815, 'epoch': 1.3599999999999999}
Step 1540: {'loss': 1.1001, 'grad_norm': 0.5580886006355286, 'learning_rate': 0.00027200000000000005, 'epoch': 1.3688888888888888}
Step 1550: {'loss': 1.1476, 'grad_norm': 0.6018284559249878, 'learning_rate': 0.0002705185185185185, 'epoch': 1.3777777777777778}
Step 1560: {'loss': 1.0431, 'grad_norm': 0.42984360456466675, 'learning_rate': 0.00026903703703703703, 'epoch': 1.3866666666666667}
Step 1570: {'loss': 1.0465, 'grad_norm': 0.5865603685379028, 'learning_rate': 0.00026755555555555555, 'epoch': 1.3955555555555557}
Step 1580: {'loss': 1.1787, 'grad_norm': 0.5680853128433228, 'learning_rate': 0.00026607407407407406, 'epoch': 1.4044444444444444}
Step 1590: {'loss': 1.2633, 'grad_norm': 0.6158344745635986, 'learning_rate': 0.0002645925925925926, 'epoch': 1.4133333333333333}
Step 1600: {'loss': 1.0402, 'grad_norm': 0.4892382323741913, 'learning_rate': 0.00026311111111111115, 'epoch': 1.4222222222222223}
Step 1610: {'loss': 1.0877, 'grad_norm': 0.47734013199806213, 'learning_rate': 0.00026162962962962967, 'epoch': 1.431111111111111}
Step 1620: {'loss': 1.1879, 'grad_norm': 0.6548910140991211, 'learning_rate': 0.00026014814814814813, 'epoch': 1.44}
Step 1630: {'loss': 0.988, 'grad_norm': 0.5617366433143616, 'learning_rate': 0.00025866666666666665, 'epoch': 1.448888888888889}
Step 1640: {'loss': 1.1538, 'grad_norm': 0.49439308047294617, 'learning_rate': 0.00025718518518518516, 'epoch': 1.4577777777777778}
Step 1650: {'loss': 1.0825, 'grad_norm': 0.48714956641197205, 'learning_rate': 0.00025570370370370374, 'epoch': 1.4666666666666668}
Step 1660: {'loss': 1.1061, 'grad_norm': 0.6010589599609375, 'learning_rate': 0.00025422222222222225, 'epoch': 1.4755555555555555}
Step 1670: {'loss': 1.1278, 'grad_norm': 0.5102576017379761, 'learning_rate': 0.00025274074074074077, 'epoch': 1.4844444444444445}
Step 1680: {'loss': 1.1455, 'grad_norm': 0.5471464395523071, 'learning_rate': 0.00025125925925925923, 'epoch': 1.4933333333333334}
Step 1690: {'loss': 1.184, 'grad_norm': 0.5986040234565735, 'learning_rate': 0.00024977777777777775, 'epoch': 1.5022222222222221}
Step 1700: {'loss': 1.0858, 'grad_norm': 0.5470849871635437, 'learning_rate': 0.0002482962962962963, 'epoch': 1.511111111111111}
Step 1710: {'loss': 1.1011, 'grad_norm': 0.5843448042869568, 'learning_rate': 0.00024681481481481483, 'epoch': 1.52}
Step 1720: {'loss': 1.2405, 'grad_norm': 0.49272069334983826, 'learning_rate': 0.00024533333333333335, 'epoch': 1.528888888888889}
Step 1730: {'loss': 1.1208, 'grad_norm': 0.9995911121368408, 'learning_rate': 0.00024385185185185184, 'epoch': 1.537777777777778}
Step 1740: {'loss': 1.2249, 'grad_norm': 0.5691743493080139, 'learning_rate': 0.00024237037037037038, 'epoch': 1.5466666666666666}
Step 1750: {'loss': 1.0595, 'grad_norm': 0.6285366415977478, 'learning_rate': 0.0002408888888888889, 'epoch': 1.5555555555555556}
Step 1760: {'loss': 1.132, 'grad_norm': 0.4639955461025238, 'learning_rate': 0.00023940740740740742, 'epoch': 1.5644444444444443}
Step 1770: {'loss': 1.1883, 'grad_norm': 0.5935875773429871, 'learning_rate': 0.00023792592592592593, 'epoch': 1.5733333333333333}
Step 1780: {'loss': 1.1009, 'grad_norm': 0.5214412212371826, 'learning_rate': 0.00023644444444444445, 'epoch': 1.5822222222222222}
Step 1790: {'loss': 1.1377, 'grad_norm': 0.5033148527145386, 'learning_rate': 0.00023496296296296297, 'epoch': 1.5911111111111111}
Step 1800: {'loss': 1.1583, 'grad_norm': 0.5178150534629822, 'learning_rate': 0.00023348148148148148, 'epoch': 1.6}
Step 1810: {'loss': 1.1016, 'grad_norm': 0.5044939517974854, 'learning_rate': 0.00023200000000000003, 'epoch': 1.608888888888889}
Step 1820: {'loss': 1.1484, 'grad_norm': 0.5484291315078735, 'learning_rate': 0.00023051851851851852, 'epoch': 1.6177777777777778}
Step 1830: {'loss': 1.0443, 'grad_norm': 0.507917046546936, 'learning_rate': 0.00022903703703703703, 'epoch': 1.6266666666666667}
Step 1840: {'loss': 1.0092, 'grad_norm': 0.7357301712036133, 'learning_rate': 0.00022755555555555558, 'epoch': 1.6355555555555554}
Step 1850: {'loss': 1.1758, 'grad_norm': 0.6351987719535828, 'learning_rate': 0.00022607407407407407, 'epoch': 1.6444444444444444}
Step 1860: {'loss': 1.1307, 'grad_norm': 0.556939423084259, 'learning_rate': 0.0002245925925925926, 'epoch': 1.6533333333333333}
Step 1870: {'loss': 1.1498, 'grad_norm': 0.5200446248054504, 'learning_rate': 0.00022311111111111113, 'epoch': 1.6622222222222223}
Step 1880: {'loss': 1.3261, 'grad_norm': 0.5707795023918152, 'learning_rate': 0.00022162962962962962, 'epoch': 1.6711111111111112}
Step 1890: {'loss': 1.1473, 'grad_norm': 0.4825136959552765, 'learning_rate': 0.00022014814814814816, 'epoch': 1.6800000000000002}
Step 1900: {'loss': 1.0952, 'grad_norm': 0.3986184597015381, 'learning_rate': 0.00021866666666666668, 'epoch': 1.6888888888888889}
Step 1910: {'loss': 1.1021, 'grad_norm': 0.4997529983520508, 'learning_rate': 0.00021718518518518517, 'epoch': 1.6977777777777778}
Step 1920: {'loss': 1.0819, 'grad_norm': 0.5749768614768982, 'learning_rate': 0.0002157037037037037, 'epoch': 1.7066666666666666}
Step 1930: {'loss': 1.1135, 'grad_norm': 0.603564441204071, 'learning_rate': 0.00021422222222222223, 'epoch': 1.7155555555555555}
Step 1940: {'loss': 1.0652, 'grad_norm': 0.6559131145477295, 'learning_rate': 0.00021274074074074074, 'epoch': 1.7244444444444444}
Step 1950: {'loss': 1.1425, 'grad_norm': 0.564391016960144, 'learning_rate': 0.00021125925925925926, 'epoch': 1.7333333333333334}
Step 1960: {'loss': 1.1953, 'grad_norm': 0.5798231959342957, 'learning_rate': 0.00020977777777777778, 'epoch': 1.7422222222222223}
Step 1970: {'loss': 1.0372, 'grad_norm': 0.53835129737854, 'learning_rate': 0.0002082962962962963, 'epoch': 1.751111111111111}
